@relation 'ISBSG10_952Instances-weka.filters.unsupervised.attribute.Remove-R9,29-weka.filters.unsupervised.attribute.Reorder-R1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,4-weka.filters.unsupervised.attribute.Remove-R2,4,7,9,12,14-15,18,20-24,26-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R3'

@attribute FunctionalSize numeric
@attribute ValueAdjustmentFactor numeric
@attribute ProjectElapsedTime numeric
@attribute DevelopmentType {Enhancement,New_Development}
@attribute BusinessAreaType {Banking,Telecommunications}
@attribute ClientServer {Yes,No}
@attribute DevelopmentPlatform {MF,PC,Multi,MR}
@attribute LanguageType {3GL,4GL}
@attribute FirstOS {Unix,Mainframe,Windows}
@attribute MaxTeamSize numeric
@attribute NormalisedWorkEffortLevel1 numeric

@data
47,1.11,1.71,Enhancement,?,?,?,?,?,?,354
56,?,?,Enhancement,?,?,MF,3GL,?,?,1762
367,?,8,Enhancement,Telecommunications,Yes,PC,4GL,Windows,10,3483
348,1.04,6,New_Development,Telecommunications,?,PC,?,Windows,22,8543
131,1,8,Enhancement,?,?,?,?,?,1,1252
58,?,?,Enhancement,?,?,MF,4GL,?,?,512
349,1.04,5,Enhancement,Telecommunications,?,MR,4GL,Unix,12,4134
744,1,7,New_Development,?,?,?,?,?,11,3439
48,1.1,3,Enhancement,Telecommunications,?,PC,3GL,Windows,4,1213
377,1.02,?,Enhancement,?,?,?,3GL,?,?,8437
34,?,?,Enhancement,?,Yes,Multi,4GL,?,?,254
345,1.24,?,Enhancement,?,?,?,3GL,?,?,20859
115,?,5,Enhancement,Telecommunications,?,?,4GL,?,9,1576
2045,?,3,Enhancement,?,Yes,Multi,4GL,Windows,?,3613
19,1,2.1,Enhancement,?,Yes,?,?,?,?,1081
721,1,6,Enhancement,?,?,?,?,?,12,6552
42,1.27,2.73,Enhancement,?,Yes,?,3GL,?,?,296
129,?,?,Enhancement,?,?,MF,3GL,?,?,1809
109,?,?,Enhancement,?,Yes,Multi,4GL,?,?,655
1510,?,11,New_Development,?,Yes,Multi,4GL,Windows,?,5740
111,1.21,3.06,Enhancement,?,Yes,?,4GL,?,?,1521
309,?,4.9,Enhancement,?,Yes,Multi,3GL,Windows,?,25900
197,1.01,2,Enhancement,Telecommunications,?,?,4GL,?,3,1049
18,0.74,?,New_Development,Banking,?,MF,3GL,Mainframe,?,1015
781,1,32,New_Development,?,?,?,3GL,?,309,45778
212,1.04,4,Enhancement,Telecommunications,?,MR,4GL,Unix,8,2325
36,?,2.2,Enhancement,?,?,MF,3GL,Mainframe,?,288
58,1.03,?,Enhancement,?,?,MF,4GL,Unix,?,1694
113,1,6,Enhancement,?,?,?,?,?,5,1350
1987,?,3,Enhancement,?,Yes,Multi,4GL,Windows,?,3613
100,1,6,New_Development,?,?,?,?,?,4,830
4,1,1.38,Enhancement,?,Yes,?,?,?,?,8
66,0.94,3,Enhancement,Telecommunications,No,PC,3GL,Mainframe,2,349
84,1.07,?,Enhancement,?,?,?,3GL,?,?,2113
18,?,?,Enhancement,?,Yes,Multi,4GL,?,?,783
141,?,?,Enhancement,?,Yes,Multi,4GL,?,?,842
897,?,18,New_Development,Telecommunications,?,?,4GL,?,2,2798
1174,?,9,Enhancement,?,?,MR,3GL,Unix,?,9200
1194,?,10.8,New_Development,?,?,PC,4GL,Windows,?,8162
77,1.22,?,Enhancement,?,?,MF,4GL,Unix,?,91
324,0.96,6,New_Development,Telecommunications,?,MR,3GL,Unix,6,2455
306,1.05,3.62,Enhancement,?,Yes,?,3GL,?,?,2201
136,0.97,6,New_Development,Telecommunications,?,?,4GL,?,2,724
270,?,?,Enhancement,?,Yes,Multi,3GL,?,?,3846
189,1.12,?,Enhancement,?,?,MF,4GL,Unix,?,1240
88,0.9,5,Enhancement,Telecommunications,?,PC,?,Windows,9,4319
58,1.12,?,Enhancement,?,?,MF,4GL,Unix,?,1835
231,1,12,New_Development,Banking,?,MF,3GL,Mainframe,4,4116
122,?,3,Enhancement,?,?,MF,3GL,Mainframe,4,948
78,?,4,Enhancement,Telecommunications,?,?,3GL,?,15,3227
250,?,?,Enhancement,?,Yes,Multi,4GL,?,?,2055
56,0.93,?,Enhancement,?,?,MF,4GL,Unix,?,133
581,1.12,4,New_Development,Telecommunications,?,?,3GL,?,9,4352
202,1,18,New_Development,?,?,?,3GL,?,8,13415
14,?,2,New_Development,?,No,PC,3GL,Unix,?,480
105,?,?,Enhancement,?,Yes,Multi,3GL,?,?,610
2468,1,?,New_Development,?,?,?,?,?,?,33760
44,?,?,Enhancement,?,Yes,Multi,3GL,?,?,73
4,1.27,2.33,Enhancement,?,Yes,?,3GL,?,?,15
137,1.06,6,Enhancement,Telecommunications,Yes,MR,3GL,Unix,14,2390
131,1,7,Enhancement,?,?,?,?,?,5,498
263,1.08,5,Enhancement,Telecommunications,Yes,MR,4GL,Unix,?,4393
305,1,3,New_Development,?,?,?,?,?,5,623
438,1,1,Enhancement,?,?,?,3GL,?,6,2142
407,1,7,New_Development,Banking,?,MF,3GL,Mainframe,8,9013
213,1,7,New_Development,?,?,?,3GL,?,2,1025
72,1.05,1,Enhancement,Telecommunications,?,?,3GL,?,?,451
724,?,3.5,New_Development,?,?,MR,3GL,Unix,?,3092
365,1.04,9,New_Development,Telecommunications,Yes,PC,4GL,Unix,4,3322
77,1.02,2.93,Enhancement,?,Yes,?,?,?,?,938
139,?,?,Enhancement,?,?,MF,3GL,?,?,2405
238,1,6,New_Development,?,?,?,3GL,?,3,1386
353,?,11,Enhancement,Telecommunications,?,?,3GL,?,24,9899
85,?,1,New_Development,?,No,PC,4GL,Unix,?,1119
19,?,2,Enhancement,?,?,MF,3GL,Mainframe,?,558
703,1,6,Enhancement,?,?,?,3GL,?,8,4186
786,1,5,Enhancement,?,?,?,3GL,?,5,3836
119,?,11,Enhancement,?,?,MF,3GL,Mainframe,?,2321
328,1,10,Enhancement,?,?,?,?,?,3,864
53,1,3,New_Development,Banking,?,MF,3GL,Mainframe,3,849
194,0.88,?,New_Development,Banking,?,MF,3GL,Mainframe,?,2853
226,0.85,5,Enhancement,Telecommunications,?,?,4GL,Mainframe,4,2031
36,0.69,2.86,Enhancement,?,?,?,?,?,?,297
118,1,4,Enhancement,?,?,?,?,?,4,716
1169,1,5,New_Development,?,?,?,?,?,17,4256
93,?,?,Enhancement,?,?,MF,3GL,?,?,2382
10,?,0.6,Enhancement,?,?,MF,3GL,Mainframe,?,51
325,1.03,?,Enhancement,?,Yes,?,3GL,?,?,4219
87,?,2,Enhancement,?,No,MF,4GL,Unix,?,619
101,1,1,Enhancement,?,?,?,3GL,?,5,889
403,1,6,Enhancement,?,?,?,?,?,7,901
29,?,?,Enhancement,?,?,MF,3GL,?,?,512
115,?,6,Enhancement,Telecommunications,No,PC,4GL,Mainframe,?,1764
22,?,?,Enhancement,?,Yes,Multi,3GL,?,?,813
8,?,0.82,Enhancement,?,Yes,?,?,?,?,60
177,1,8,New_Development,Telecommunications,?,?,4GL,?,3,789
80,?,?,Enhancement,?,Yes,Multi,3GL,?,?,967
162,0.65,3,Enhancement,Banking,?,MF,4GL,Windows,?,774
24,1.17,2.17,Enhancement,?,Yes,?,3GL,?,?,59
228,1.06,8,New_Development,?,Yes,?,3GL,?,?,4067
1993,1,3,Enhancement,?,?,?,?,?,16,648
266,1,1,Enhancement,?,?,?,?,?,4,238
1247,?,3,Enhancement,?,?,PC,3GL,Windows,22.5,12794
729,1.16,13,New_Development,Banking,?,MF,3GL,Mainframe,7,16179
113,1,5,New_Development,?,?,?,3GL,?,2,835
84,?,?,Enhancement,?,Yes,Multi,3GL,?,?,1098
80,?,?,Enhancement,?,?,MF,3GL,?,?,684
68,?,8.35,Enhancement,?,Yes,?,?,?,?,200
23,?,1.6,Enhancement,?,?,MF,3GL,Mainframe,?,480
202,?,?,Enhancement,?,Yes,Multi,4GL,?,?,4985
1417,1,5,New_Development,?,?,?,3GL,?,15,20762
81,1.3,?,Enhancement,?,?,MF,3GL,Mainframe,?,1214
99,1.09,?,Enhancement,?,?,MF,3GL,Unix,?,2815
104,?,6,Enhancement,?,?,MF,3GL,Mainframe,?,7677
224,1,6,New_Development,?,?,?,3GL,?,5,2767
1028,1,?,New_Development,?,?,?,?,?,?,819
146,1,3,Enhancement,?,?,?,?,?,2,612
400,1,9,Enhancement,?,?,?,?,?,10,2350
68,?,1,Enhancement,?,No,MF,4GL,Unix,?,385
31,?,?,Enhancement,?,Yes,Multi,4GL,?,?,1106
50,?,?,Enhancement,?,Yes,Multi,4GL,?,?,967
4078,1,24,New_Development,?,?,?,4GL,?,41,59878
1471,1,9,New_Development,Telecommunications,?,?,?,?,22,2704
197,1.17,?,Enhancement,?,?,?,?,Unix,?,1214
291,1,2,New_Development,?,?,?,?,?,3,710
